"","day","nitrate","pCO2_atmos","temp","dNO3","pCO2","DIC","slDON","slDOC","airseaFlux","BML_DIC","BML_NO3"
"250",250,0,390,10,0,362.145949812766,1977.46973395148,0,0,3478.94393255820,2016.79356748184,15
"251",251,0,390,10,0,362.436143164527,1977.64187071871,0,0,3442.73534465283,2016.79356748184,15
"252",252,0,390,10,0,362.723598021116,1977.81221410419,0,0,3406.86770952707,2016.79356748184,15
"253",253,0,390,10,0,363.008334401004,1977.98078103168,0,0,3371.33854992128,2016.79356748184,15
"254",254,0,390,10,0,420.533117445194,2008.99317641221,0,0,-3783.37795969906,2008.99317641221,12
"255",255,0,390,10,0,420.456367641040,2008.95543775593,0,0,-3773.86562831652,2008.95543775593,12
"256",256,0,390,10,0,420.37982853567,2008.91779396171,0,0,-3764.37942212106,2008.91779396171,12
"257",257,0,390,10,0,420.303499460085,2008.88024476913,0,0,-3754.9192581041,2008.88024476913,12
"258",258,0,390,10,0,420.227379747882,2008.84278991859,0,0,-3745.4850535782,2008.84278991859,12
"259",259,0,390,10,0,420.151468735236,2008.80542915133,0,0,-3736.07672617653,2008.80542915133,12
"260",260,0,390,10,0,420.075765760890,2008.76816220939,0,0,-3726.69419385076,2008.76816220939,12
"261",261,0,390,10,0,420.000270166138,2008.73098883564,0,0,-3717.33737487015,2008.73098883564,12
"262",262,0,390,10,0,419.924981294819,2008.69390877377,0,0,-3708.00618781951,2008.69390877377,12
"263",263,0,390,10,0,419.849898493303,2008.65692176825,0,0,-3698.7005515976,2008.65692176825,12
"264",264,0,390,10,0,419.775021110473,2008.62002756440,0,0,-3689.42038541645,2008.62002756440,12
"265",265,0,390,10,0,419.700348497722,2008.58322590831,0,0,-3680.16560879859,2008.58322590831,12
"266",266,0,390,10,0,419.625880008937,2008.54651654689,0,0,-3670.9361415769,2008.54651654689,12
"267",267,0,390,10,0,419.551615000485,2008.50989922785,0,0,-3661.73190389227,2008.50989922785,12
"268",268,0,390,10,0,419.477552831202,2008.47337369969,0,0,-3652.55281619223,2008.47337369969,12
"269",269,0,390,10,0,419.403692862385,2008.4369397117,0,0,-3643.39879922966,2008.4369397117,12
"270",270,0,390,10,0,419.330034457776,2008.40059701396,0,0,-3634.2697740612,2008.40059701396,12
"271",271,0,390,10,0,419.256576983553,2008.36434535734,0,0,-3625.16566204622,2008.36434535734,12
"272",272,0,390,10,0,419.18331980832,2008.32818449349,0,0,-3616.08638484464,2008.32818449349,12
"273",273,0,390,10,0,419.110262303086,2008.29211417485,0,0,-3607.03186441653,2008.29211417485,12
